"order_id","material","material_description","amount","start","end"
"1308891","123.609.174.200","PACKUNG!D65","4.000","11/14/2018","11/22/2018"
"1309207","122.807.647.200","SCHWUNGRAD-ABZIEHVORRICHTUNG!","1.000","11/19/2018","12/8/2018"
"1309922","120.711.430.022","NAHTLOSES STAHLROHR!D10X2X1000","3.000","11/19/2018","12/8/2018"
"1310793","122.841.079.200","HEBEVORRICHTUNG!4D250B","1.000","11/15/2018","12/8/2018"
"1311771","122.843.822.001","K-BODEN!O D505X75","10.000","11/15/2018","11/30/2018"
"1312113","122.127.284.001","STOPFBUECHSFLANSCH!D318/80X70","1.000","10/19/2018","12/1/2018"
"1312579","122.127.316.001","STOPFBUECHSFLANSCH!D319/137X90","1.000","10/11/2018","12/1/2018"
"1313190","122.851.096.001","LATERNE SV-202!D214/142X268","4.000","10/10/2018","12/5/2018"
"1313191","122.851.097.001","LATERNE DV-202!D214/142X282","4.000","10/11/2018","11/26/2018"
"1313193","122.842.762.200","STELLZYLINDER-ABPRESSEN","20.000","11/22/2018","11/26/2018"
"1314122","122.499.213.001","AUSSENRING!D341/200X72","1.000","11/16/2018","11/20/2018"
"1314660","122.887.524.200","STELLZYLINDER M-E-A-NA-O-273-Z","2.000","11/9/2018","11/21/2018"
"1314702","123.605.544.201","ZYLINDER ABPRESSEN!KD115(CLASS)","1.000","10/23/2018","12/11/2018"
"1314703","123.605.544.201","ZYLINDER ABPRESSEN!KD115(CLASS)","1.000","11/1/2018","12/11/2018"
"1314711","123.602.862.201","ZYL-BLOCK ABPRESSEN!6LP190-5C_1","1.000","10/26/2018","11/28/2018"
"1314722","123.608.980.202","ZYL-BLOCK NAS ABPRESS!6LP190-5C_1(CLASS)","1.000","11/9/2018","11/28/2018"
"1314745","123.610.820.200","SCHUBSTANGE!LP190 KOMPLETT (LR,GL,ABS)","6.000","11/9/2018","11/29/2018"
"1314749","123.601.963.200","KOLBENSTANGENSCHMIERUNG!6LP190","1.000","11/7/2018","12/3/2018"
"1315408","122.234.861.003","AUSSENRING!341/245X48","1.000","11/21/2018","11/22/2018"
"1315414","122.476.525.001","HALTERING!D110/93X3","10.000","9/21/2018","11/26/2018"
"1315550","122.841.442.001","DECKEL AEND!D127X17,5/G1""","2.000","10/19/2018","11/6/2018"
"1315786","123.618.674.001","ZYLINDER!1630X2000X1210","1.000","11/5/2018","12/3/2018"
"1315912","123.623.026.001","GEHAEUSE!D178/106X72","5.000","10/16/2018","11/26/2018"
"1315914","120.711.208.001","DECKRING!D172/106X10","5.000","10/16/2018","11/30/2018"
"1315915","123.623.028.001","KAMMERRING!D150/106X27","5.000","10/29/2018","11/22/2018"
"1315916","123.623.030.001","KAMMERRING!D150/106X26,5","5.000","11/6/2018","11/21/2018"
"1315959","122.875.227.001","VENTILDECKEL ABH. TE!202-25-50","4.000","10/16/2018","11/23/2018"
"1316817","106.074.031.001","KRONE!D122/79X22","70.000","9/27/2018","11/27/2018"
"1317530","000.630.381.601","STOPFB KAMMER!D165/105X46","25.000","10/2/2018","12/11/2018"
"1318061","000.630.747.101","FED FUEHRG RING!D182/150X15","8.000","11/5/2018","11/19/2018"
"1318219","120.713.581.003","KOMPRESSORSCHILD EN!148X105X1","1.000","11/13/2018","11/22/2018"
"1318778","122.809.419.004","VENTILDECKEL 130K24!196X196X54","6.000","10/12/2018","11/23/2018"
"1318779","122.844.457.004","VENTILDECKEL ABH. 130K24!196X196X54","2.000","10/12/2018","11/22/2018"
"1319108","122.857.384.001","ZWISCHENSTUECK!D100/38X103","60.000","11/1/2018","11/26/2018"
"1319234","123.613.379.200","FED FUEHRG RING!D184/151X15","1.000","11/12/2018","12/8/2018"
"1319339","122.870.734.001","KAMMERRING TYP2300!D266/137X37","2.000","10/18/2018","11/1/2018"
"1319483","122.874.536.001","ZWISCHENRING!D165/105X28","15.000","10/31/2018","11/19/2018"
"1319876","122.870.030.003","VENTILDECKEL TE!181-25-50","12.000","10/11/2018","11/23/2018"
"1319877","122.866.317.003","VENTILDECKEL ABH. TE!181-25-50","4.000","10/11/2018","11/26/2018"
"1319880","122.853.259.004","ZYL-DECKEL!D750X290","2.000","10/10/2018","11/29/2018"
"1320565","120.705.934.001","SAUGSTUTZEN!D340/58X650","4.000","10/23/2018","12/12/2018"
"1321937","106.012.506.001","LATERNE DV-176!D191/122X268,5","1.000","11/8/2018","11/21/2018"
"1321939","106.012.506.002","LATERNE SV-176!D191/122X262,5","1.000","11/8/2018","11/21/2018"
"1322036","122.877.403.001","KAMMERRING NR.2!D145/68X28","6.000","11/7/2018","11/19/2018"
"1322131","122.807.760.200","SCHWUNGRAD-ABZIEHVORRICHTUNG!","1.000","11/21/2018","12/8/2018"
"A1305784A","NCR","NON COMFORMITY REPORT","1.000","12/3/2018","12/3/2018"
"1301168","123.618.984.200","ZYLINDER!400A_01","1.000","10/3/2018","12/6/2018"
"1301732","123.618.642.200","ZYLINDER!690A_01","1.000","10/3/2018","12/15/2018"
"1302078","123.618.926.200","ZYLINDER ABPRESSEN!NG370A_01","1.000","10/31/2018","11/26/2018"
"1302426","123.618.830.200","ZYLINDER!GEB215A_01","1.000","10/3/2018","12/27/2018"
"1302511","106.013.278.009","DECKEL L-SCHILD!D514/148X92","1.000","10/30/2018","11/20/2018"
"1302799","122.807.836.003","K-BODEN!U D700X125","4.000","9/4/2018","11/22/2018"
"1304772","123.618.887.202","GAS-ZYLINDER!1.ST. ABPRESSEN LINKS","1.000","9/12/2018","12/14/2018"
"1305505","122.841.481.200","KS-F-LAGER ABPRESSEN!D120","4.000","10/10/2018","11/29/2018"
"1307026","122.854.849.200","STELLZYLINDER-ABPRESSEN DK-F","20.000","11/19/2018","11/20/2018"
"1307607","122.850.884.001","LATERNE DV-110 D125/74X258","2.000","9/25/2018","11/22/2018"
"1307632","122.861.865.001","LATERNE SV-135!D147/89X190","8.000","9/25/2018","11/26/2018"
"1308941","123.621.316.001","ZYL-DECKEL!D532X224","3.000","10/29/2018","11/26/2018"
"1308973","123.621.064.200","KOMPRESSOR!3K160-2N_1","1.000","11/15/2018","12/20/2018"
"1310336","122.886.098.200","FESTIGKEITSBUECHSE EXXON NR.9!D115","1.000","10/15/2018","11/19/2018"
"1312061","122.853.041.001","KOLBENSTANGE WCCO!D90X1902","3.000","8/9/2018","11/28/2018"
"1312086","122.854.387.001","DRUCKVENTILSITZ!D165X35","2.000","11/1/2018","11/26/2018"
"1312217","122.855.851.200","OELFANG 2-TLG!705X812,5X140","2.000","10/18/2018","11/29/2018"
"1313363","123.620.394.002","SAUGVENTILKOERPER!D184,5X70","2.000","10/23/2018","11/26/2018"
"1314874","122.801.890.200","STOPFB DECKEL!D280/125X54","7.000","11/16/2018","11/27/2018"
