"material","description","product_hierarchy","division","gpr","basic_material","dimensions","min_lot","weight_net","weight_net_unit","weight_gross","weight_gross_unit"
"122.217.959.201","SCHMIERPUMPENGEHAEUSE!","0003-4200","04","K75","","","30.000","12.000","KG","12.000","KG"
"122.218.347.200","RUECKSCHLAGVENTIL!G3/8","0003-2800","02","K600","","G3/8","","0.120","KG","0.120","KG"
"122.221.874.006","VENTILKOPFDICHTUNG D=472 MM!960X590X1,5","0003-2000","02","K790","AFM34","590X960X1,5","","0.469","KG","0.469","KG"
"122.221.874.008","VENTILKOPFDICHTUNG D=427 MM!960X590X1,5","0003-2800","02","K790","AFM34","590X960X1,5","","0.507","KG","0.507","KG"
"122.222.131.201","OELRUECKSCHLAGVENTIL!","0003-2800","02","K600","","","","0.120","KG","0.120","KG"
"122.222.348.001","KOLBEN!D347/46X140","0003-2200","02","K401","EN-GJL-200","D347/46X140","","84.696","KG","84.696","KG"
"122.224.472.001","SAUGVENTILKOERPER!D144X65","0003-4200","04","K391","30CRNIMO8","D144X65","","7.000","KG","7.000","KG"
"122.224.473.001","VENTILSITZ!D144X65","0003-4200","04","K392","30CRNIMO8","D144X65","","7.500","KG","7.500","KG"
"122.224.474.001","DRUCKVENTILKOERPER!D144,5X80","0003-4200","04","K391","30 CRNIMO 8","D144,5X80","","8.400","KG","8.400","KG"
"122.224.475.001","HALTERING!D144X85X47","0003-4200","02","K212","34CRMO4","D144X85X47","","7.500","KG","7.500","KG"
"122.224.476.001","FEDERFUEHRUNG!D87,9/35X150","0003-4000","","K393","34CRMO4","D87,9/35X150","","0.000","KG","0.000","KG"
"122.224.476.200","FEDERFUEHRUNG!R3""/M39X3 X 150","0003-4200","04","K600","","R3""/M39X3 X 150","","7.500","KG","7.500","KG"
"122.224.966.200","KOLBEN!D62X199","0003-4200","02","K600","30CRNIMO8","D62X199","","11.000","KG","11.000","KG"
"122.224.992.001","KOLBENST MUTTER!D168/111X115","0003-4200","04","K131","S355J2+N","D168/111X115","","6.000","KG","6.000","KG"
