to_char, description, time_measured, time_planned, delay
2018-01-22, BAZ-MA-400HA, 154800.000, 55800.000, 27.5000000000000000
2018-01-22, BOHRWERK SCHARMANN, 115200.000, 108000.000, 2.0000000000000000
2018-01-22, CNC-VERT.-DREHEN DS, 180900.000, 135900.000, 12.5000000000000000
2018-01-22, DBAZ MCT 350-2000, 357840.000, 101160.000, 71.80000000000000000000
2018-01-22, DBAZ MCT 550-2000, 2639880.000, 630000.000, 558.3000000000000000
2018-01-22, DBAZ MCT 550-3000, 429300.000, 151740.000, 77.1000000000000000
2018-01-22, DBAZ MCT 550-RS, 397800.000, 196380.000, 54.7000000000000000
2018-01-22, DBAZ MULTUS B200, 7831260.000, 209340.000, 2117.20000000000000000000
2018-01-22, DBAZ MULTUS B400, 1512540.000, 152100.000, 377.70000000000000000000
2018-01-22, DRUCKPR. KLEINTEILE, 32520.000, 18720.000, 4.20000000000000000000
2018-01-22, DRUCKPRÜFUNG, 821700.000, 620100.000, 56.0000000000000000
2018-01-22, DRUCKPRÜFUNG ROHRL., 281010.000, 85860.000, 54.20000000000000000000
2018-01-22, FABR. KONTROLLE, 1350960.000, 327708.000, 284.23666666666666670001
2018-01-22, FL.-/DRUCKFLIESSLÄP, 533820.000, 99720.000, 120.58333333333333330000
2018-01-22, HONMASCHINE, 62640.000, 28080.000, 9.6000000000000000
2018-01-22, KAMMERRINGE PL4 FIN, 101700.000, 64620.000, 10.30000000000000000000
2018-01-22, KEILN.-ZIEHMASCHINE, 8640.000, 6480.000, 0.60000000000000000000
2018-01-22, KK-KÖRPER/KK-SCHUH, 180900.000, 18900.000, 45.0000000000000000
2018-01-22, KONTR. GROSSTEILE, 147600.000, 90000.000, 16.00000000000000000000
2018-01-22, KONTR. HD-HYPER T., 220140.000, 114300.000, 29.40000000000000000000
2018-01-22, MALER KLEIN, 1362960.000, 447840.000, 254.2000000000000000
2018-01-22, MAT.-PRÜF.QUALITECH, 227760.000, 45000.000, 50.7666666666666667
2018-01-22, MESSMASCHINE GROSS, 247320.000, 54360.000, 53.60000000000000000000
2018-01-22, MESSMASCHINE KLEIN, 105240.000, 41220.000, 18.13333333333333330000
2018-01-22, MONT.BG GROSS/KLEIN, 577620.000, 285660.000, 81.10000000000000000000
2018-01-22, MONTAGE SCHUBST.-KK, 617400.000, 117900.000, 138.7500000000000000
2018-01-22, OELABSTR. LAEPPEN, 7713000.000, 176400.000, 2093.5000000000000000
2018-01-22, R-SCHL.LTG ANPASSEN, 728100.000, 655200.000, 20.25000000000000000000
2018-01-22, RAD.-SCHLEIFMASCH., 4307220.000, 412956.000, 1081.74000000000000016667
2018-01-22, RADIALBOHRMASCHINEN, 81540.000, 26820.000, 15.20000000000000000000
2018-01-22, RUNDSCHLEIFMASCH., 190260.000, 111060.000, 22.00000000000000000000
2018-01-22, SCHLEIF. HYPER KOMP, 343260.000, 138780.000, 56.80000000000000000000
2018-01-22, SCHLEIFEN, GRATEN, VERPUTZEN, 1179900.000, 178200.000, 278.25000000000000000000
2018-01-22, SCHLOSSER VERP. GTF, 540900.000, 263700.000, 77.00000000000000000000
2018-01-22, SERVICE UND MONTAGE, 41580.000, 7740.000, 9.40000000000000000000
2018-01-22, SP.-DREHEN GROSS, 248400.000, 106200.000, 39.50000000000000000000
2018-01-22, SP.-DREHEN KLEIN, 369720.000, 109440.000, 71.80000000000000000000
2018-01-22, ZELLE FRÄSEN/BOHREN, 79740.000, 16380.000, 17.60000000000000000000
2018-01-29, ABL.KONTR. MONTAGE, 5220.000, 4500.000, 0.20000000000000000000
2018-01-29, ABSÄGEN OPTIMO, 589380.000, 56052.000, 148.27999999999999996667
2018-01-29, AUTOFRETTAGE, 375300.000, 44100.000, 92.0000000000000000
2018-01-29, BAZ-MA-400HA, 1281600.000, 277200.000, 279.5000000000000000
2018-01-29, BOHRWERK SCHARMANN, 86400.000, 55800.000, 8.5000000000000000
2018-01-29, CNC-BAZ HEAVYSPEED, 457800.000, 360000.000, 27.0000000000000000
2018-01-29, CNC-VERT.-DREHEN DS, 1309320.000, 460800.000, 235.70000000000000000000
2018-01-29, DBAZ MCT 350-2000, 1473000.000, 110520.000, 378.4666666666666667
2018-01-29, DBAZ MCT 550-2000, 4475400.000, 543060.000, 1092.06666666666666670000
2018-01-29, DBAZ MCT 550-3000, 870240.000, 197100.000, 185.98333333333333330000
2018-01-29, DBAZ MCT 550-RS, 1832400.000, 450540.000, 385.1000000000000000
2018-01-29, DBAZ MULTUS B200, 9442800.000, 248760.000, 2553.9000000000000000
2018-01-29, DBAZ MULTUS B400, 5980788.000, 319320.000, 1572.63000000000000000000
2018-01-29, DRUCKPR. KLEINTEILE, 1052280.000, 84600.000, 268.8000000000000000
2018-01-29, DRUCKPROBE SERV, 41400.000, 19800.000, 6.00000000000000000000
2018-01-29, DRUCKPRÜFUNG, 1521900.000, 787500.000, 204.0000000000000000
2018-01-29, DRUCKPRÜFUNG ROHRL., 107970.000, 56790.000, 14.10000000000000000000
2018-01-29, FABR. KONTROLLE, 1844676.000, 345312.000, 416.24000000000000003334
2018-01-29, FL.-/DRUCKFLIESSLÄP, 98460.000, 41220.000, 15.90000000000000000000
2018-01-29, KAMMERRINGE PL4 FIN, 149760.000, 59040.000, 25.20000000000000000000
2018-01-29, KEILN.-ZIEHMASCHINE, 13500.000, 8100.000, 1.5000000000000000
2018-01-29, KK-KÖRPER/KK-SCHUH, 173700.000, 44100.000, 36.0000000000000000
2018-01-29, KONTR. GROSSTEILE, 41400.000, 27000.000, 4.00000000000000000000
2018-01-29, KONTR. HD-HYPER T., 394560.000, 159840.000, 65.20000000000000000000
2018-01-29, MALER KLEIN, 555120.000, 282780.000, 75.65000000000000000000
2018-01-29, MALER KOMPR., 581580.000, 145980.000, 121.00000000000000000000
2018-01-29, MAT.-PRÜF.QUALITECH, 239160.000, 96012.000, 39.75999999999999996667
2018-01-29, MESSMASCHINE KLEIN, 137520.000, 39960.000, 27.1000000000000000
2018-01-29, MONT.BG GROSS/KLEIN, 592740.000, 275220.000, 88.20000000000000000000
2018-01-29, MONTAGE SCHUBST.-KK, 748800.000, 148500.000, 166.75000000000000000000
2018-01-29, OELABSTR. LAEPPEN, 13423500.000, 273420.000, 3652.8000000000000000
2018-01-29, PRÜFEN HD-SCHMIERPUMPEN, 9227700.000, 263700.000, 2490.0000000000000000
2018-01-29, RAD.-SCHLEIFMASCH., 3071940.000, 308772.000, 767.54666666666666670000
2018-01-29, RADIALBOHRMASCHINEN, 199800.000, 22320.000, 49.30000000000000000000
2018-01-29, ROHRSCHLOSSER, 1061100.000, 561600.000, 139.25000000000000000000
2018-01-29, RUNDSCHLEIFMASCH., 1284300.000, 171900.000, 309.00000000000000000000
2018-01-29, SCHLEIF. HYPER KOMP, 62820.000, 37620.000, 7.00000000000000000000
2018-01-29, SCHLEIFEN, GRATEN, VERPUTZEN, 677340.000, 147420.000, 147.20000000000000000000
2018-01-29, SCHLOSSER VERP. GTF, 390600.000, 257400.000, 37.00000000000000000000
2018-01-29, SP.-DREHEN GROSS, 388800.000, 154800.000, 65.00000000000000000000
2018-01-29, SP.-DREHEN KLEIN, 2130840.000, 223920.000, 529.70000000000000000000
2018-01-29, STELLZYLINDER MONT., 351720.000, 49320.000, 84.00000000000000000000
2018-01-29, ZELLE FRÄSEN/BOHREN, 268740.000, 29700.000, 66.40000000000000000000
2018-02-05, ABSÄGEN OPTIMO, 4782900.000, 181422.000, 1278.54666666666666666663
2018-02-05, ANREISSPLATZ M./M., 268560.000, 133920.000, 37.40000000000000000000
2018-02-05, AUTOFRETTAGE, 1634400.000, 68400.000, 435.0000000000000000
2018-02-05, BAZ ECOFORCE, 1026000.000, 410400.000, 171.0000000000000000
2018-02-05, BAZ-MA-400HA, 674640.000, 140040.000, 148.5000000000000000
2018-02-05, BOHRWERK SCHARMANN, 156000.000, 36000.000, 33.3333333333333333
2018-02-05, CNC-VERT.-DREHEN DS, 57600.000, 54000.000, 1.0000000000000000
2018-02-05, DBAZ MCT 350-2000, 1012200.000, 240264.000, 211.62666666666666666667
2018-02-05, DBAZ MCT 550-2000, 3106560.000, 664740.000, 678.2833333333333333
2018-02-05, DBAZ MCT 550-3000, 4738320.000, 192060.000, 1263.6000000000000000
